Time;Consumption;;
17.9.2021 22.00;1,28;;
17.9.2021 23.00;3,42;;
18.9.2021 0.00;3,41;;
18.9.2021 1.00;1,7;;
18.9.2021 2.00;0,35;;
18.9.2021 3.00;0,41;;
18.9.2021 4.00;1,18;;
18.9.2021 5.00;0,8;;
18.9.2021 6.00;0,31;;
18.9.2021 7.00;0,35;;
18.9.2021 8.00;0,57;;
18.9.2021 9.00;1,05;;
18.9.2021 10.00;2,5;;
18.9.2021 11.00;1,43;;
18.9.2021 12.00;1,08;;
18.9.2021 13.00;0,56;;
18.9.2021 14.00;0,39;;
18.9.2021 15.00;1,12;;
18.9.2021 16.00;0,87;;
18.9.2021 17.00;0,31;;
18.9.2021 18.00;0,27;;
18.9.2021 19.00;0,4;;
18.9.2021 20.00;1,12;;
18.9.2021 21.00;1,28;;
18.9.2021 22.00;3,09;;
18.9.2021 23.00;3,48;;
19.9.2021 0.00;1,69;;
19.9.2021 1.00;1,06;;
19.9.2021 2.00;1,26;;
19.9.2021 3.00;0,73;;
19.9.2021 4.00;0,87;;
19.9.2021 5.00;0,79;;
19.9.2021 6.00;0,8;;
19.9.2021 7.00;1,59;;
19.9.2021 8.00;1,44;;
19.9.2021 9.00;1,24;;
19.9.2021 10.00;1,96;;
19.9.2021 11.00;1,31;;
19.9.2021 12.00;1,24;;
19.9.2021 13.00;1,84;;
19.9.2021 14.00;1,25;;
19.9.2021 15.00;0,65;;
19.9.2021 16.00;0,73;;
19.9.2021 17.00;2,25;;
19.9.2021 18.00;0,68;;
19.9.2021 19.00;1,57;;
19.9.2021 20.00;1,35;;
19.9.2021 21.00;0,8;;
19.9.2021 22.00;1,81;;
19.9.2021 23.00;3,85;;
20.9.2021 0.00;3,89;;
20.9.2021 1.00;2,3;;
20.9.2021 2.00;1,39;;
20.9.2021 3.00;0,8;;
20.9.2021 4.00;0,82;;
20.9.2021 5.00;0,87;;
20.9.2021 6.00;1,25;;
20.9.2021 7.00;1,92;;
20.9.2021 8.00;1,83;;
20.9.2021 9.00;2,52;;
20.9.2021 10.00;2,54;;
20.9.2021 11.00;1,29;;
20.9.2021 12.00;1,37;;
20.9.2021 13.00;1,77;;
20.9.2021 14.00;1,08;;
20.9.2021 15.00;0,94;;
20.9.2021 16.00;0,99;;
20.9.2021 17.00;0,99;;
20.9.2021 18.00;1,08;;
20.9.2021 19.00;1,83;;
20.9.2021 20.00;1,54;;
20.9.2021 21.00;1;;
20.9.2021 22.00;3,69;;
20.9.2021 23.00;4,26;;
21.9.2021 0.00;4,58;;
21.9.2021 1.00;4,78;;
21.9.2021 2.00;1,1;;
21.9.2021 3.00;1;;
21.9.2021 4.00;1,1;;
21.9.2021 5.00;1,06;;
21.9.2021 6.00;1,69;;
21.9.2021 7.00;1,95;;
21.9.2021 8.00;1,23;;
21.9.2021 9.00;0,81;;
21.9.2021 10.00;0,88;;
21.9.2021 11.00;1,51;;
21.9.2021 12.00;1,64;;
21.9.2021 13.00;1,37;;
21.9.2021 14.00;1,46;;
21.9.2021 15.00;0,74;;
21.9.2021 16.00;1,06;;
21.9.2021 17.00;1,69;;
21.9.2021 18.00;1,56;;
21.9.2021 19.00;1,81;;
21.9.2021 20.00;1,61;;
21.9.2021 21.00;1,48;;
21.9.2021 22.00;2,14;;
21.9.2021 23.00;4,65;;
22.9.2021 0.00;4,9;;
22.9.2021 1.00;4,59;;
22.9.2021 2.00;2,43;;
22.9.2021 3.00;0,93;;
22.9.2021 4.00;1,94;;
22.9.2021 5.00;1,95;;
22.9.2021 6.00;1,26;;
22.9.2021 7.00;1,54;;
22.9.2021 8.00;1,25;;
22.9.2021 9.00;1,73;;
22.9.2021 10.00;1,78;;
22.9.2021 11.00;1,19;;
22.9.2021 12.00;0,85;;
22.9.2021 13.00;0,91;;
22.9.2021 14.00;1,82;;
22.9.2021 15.00;2,13;;
22.9.2021 16.00;1,28;;
22.9.2021 17.00;0,86;;
22.9.2021 18.00;0,85;;
22.9.2021 19.00;1,1;;
22.9.2021 20.00;3,51;;
22.9.2021 21.00;2,21;;
22.9.2021 22.00;2,48;;
22.9.2021 23.00;4,04;;
23.9.2021 0.00;2,7;;
23.9.2021 1.00;1,38;;
23.9.2021 2.00;1,77;;
23.9.2021 3.00;1,11;;
23.9.2021 4.00;1,01;;
23.9.2021 5.00;0,98;;
23.9.2021 6.00;1,23;;
23.9.2021 7.00;1,99;;
23.9.2021 8.00;2,21;;
23.9.2021 9.00;1,03;;
23.9.2021 10.00;1,15;;
23.9.2021 11.00;1,34;;
23.9.2021 12.00;1,71;;
23.9.2021 13.00;1,46;;
23.9.2021 14.00;1;;
23.9.2021 15.00;0,95;;
23.9.2021 16.00;1,04;;
23.9.2021 17.00;1,75;;
23.9.2021 18.00;1,85;;
23.9.2021 19.00;1,51;;
23.9.2021 20.00;1,1;;
23.9.2021 21.00;1,04;;
23.9.2021 22.00;1,48;;
23.9.2021 23.00;4,31;;
24.9.2021 0.00;4,73;;
24.9.2021 1.00;3,72;;
24.9.2021 2.00;0,86;;
24.9.2021 3.00;0,8;;
24.9.2021 4.00;0,88;;
24.9.2021 5.00;1,45;;
24.9.2021 6.00;1,71;;
24.9.2021 7.00;1,15;;
24.9.2021 8.00;2,83;;
24.9.2021 9.00;1,48;;
24.9.2021 10.00;1;;
24.9.2021 11.00;1,01;;
24.9.2021 12.00;1,48;;
24.9.2021 13.00;1,5;;
24.9.2021 14.00;0,57;;
24.9.2021 15.00;0,74;;
24.9.2021 16.00;0,92;;
24.9.2021 17.00;0,61;;
24.9.2021 18.00;1,34;;
24.9.2021 19.00;1,85;;
24.9.2021 20.00;1,24;;
24.9.2021 21.00;0,68;;
24.9.2021 22.00;1,63;;
24.9.2021 23.00;3,58;;
25.9.2021 0.00;3,46;;
25.9.2021 1.00;1,96;;
25.9.2021 2.00;0,38;;
25.9.2021 3.00;0,32;;
25.9.2021 4.00;0,35;;
25.9.2021 5.00;0,37;;
25.9.2021 6.00;1,1;;
25.9.2021 7.00;1,5;;
25.9.2021 8.00;0,66;;
25.9.2021 9.00;1,08;;
25.9.2021 10.00;1,47;;
25.9.2021 11.00;1,2;;
25.9.2021 12.00;0,88;;
25.9.2021 13.00;1,27;;
25.9.2021 14.00;0,85;;
25.9.2021 15.00;0,44;;
25.9.2021 16.00;0,67;;
25.9.2021 17.00;1,93;;
25.9.2021 18.00;1,89;;
25.9.2021 19.00;2,04;;
25.9.2021 20.00;2,21;;
25.9.2021 21.00;0,67;;
25.9.2021 22.00;0,82;;
25.9.2021 23.00;3,94;;
26.9.2021 0.00;4,59;;
26.9.2021 1.00;4,54;;
26.9.2021 2.00;0,8;;
26.9.2021 3.00;0,74;;
26.9.2021 4.00;0,79;;
26.9.2021 5.00;0,82;;
26.9.2021 6.00;1,27;;
26.9.2021 7.00;1,62;;
26.9.2021 8.00;1,05;;
26.9.2021 9.00;0,81;;
26.9.2021 10.00;1,58;;
26.9.2021 11.00;1,1;;
26.9.2021 12.00;2,28;;
26.9.2021 13.00;2,37;;
26.9.2021 14.00;1,44;;
26.9.2021 15.00;1,17;;
26.9.2021 16.00;1,02;;
26.9.2021 17.00;1,56;;
26.9.2021 18.00;2,37;;
26.9.2021 19.00;1,78;;
26.9.2021 20.00;0,77;;
26.9.2021 21.00;0,91;;
26.9.2021 22.00;3,78;;
26.9.2021 23.00;3,54;;
27.9.2021 0.00;3,51;;
27.9.2021 1.00;3,54;;
27.9.2021 2.00;1,22;;
27.9.2021 3.00;0,49;;
27.9.2021 4.00;0,44;;
27.9.2021 5.00;0,59;;
27.9.2021 6.00;0,77;;
27.9.2021 7.00;0,85;;
27.9.2021 8.00;1,18;;
27.9.2021 9.00;0,64;;
27.9.2021 10.00;0,38;;
27.9.2021 11.00;0,36;;
27.9.2021 12.00;0,32;;
27.9.2021 13.00;0,94;;
27.9.2021 14.00;1,14;;
27.9.2021 15.00;0,69;;
27.9.2021 16.00;1,25;;
27.9.2021 17.00;0,61;;
27.9.2021 18.00;0,53;;
27.9.2021 19.00;1,26;;
27.9.2021 20.00;1,42;;
27.9.2021 21.00;0,61;;
27.9.2021 22.00;1,81;;
27.9.2021 23.00;3,48;;
28.9.2021 0.00;4,01;;
28.9.2021 1.00;3,13;;
28.9.2021 2.00;0,9;;
28.9.2021 3.00;0,7;;
28.9.2021 4.00;0,81;;
28.9.2021 5.00;0,88;;
28.9.2021 6.00;1,68;;
28.9.2021 7.00;1,6;;
28.9.2021 8.00;0,92;;
28.9.2021 9.00;0,77;;
28.9.2021 10.00;0,66;;
28.9.2021 11.00;0,73;;
28.9.2021 12.00;0,92;;
28.9.2021 13.00;1,18;;
28.9.2021 14.00;0,42;;
28.9.2021 15.00;0,35;;
28.9.2021 16.00;0,6;;
28.9.2021 17.00;0,45;;
28.9.2021 18.00;0,43;;
28.9.2021 19.00;1,41;;
28.9.2021 20.00;2,24;;
28.9.2021 21.00;1,44;;
28.9.2021 22.00;0,96;;
28.9.2021 23.00;3,53;;
29.9.2021 0.00;3,57;;
29.9.2021 1.00;2,91;;
29.9.2021 2.00;1,57;;
29.9.2021 3.00;1,63;;
29.9.2021 4.00;0,49;;
29.9.2021 5.00;1,07;;
29.9.2021 6.00;1,08;;
29.9.2021 7.00;1,29;;
29.9.2021 8.00;1,69;;
29.9.2021 9.00;1,28;;
29.9.2021 10.00;0,86;;
29.9.2021 11.00;0,84;;
29.9.2021 12.00;0,88;;
29.9.2021 13.00;0,88;;
29.9.2021 14.00;1,35;;
29.9.2021 15.00;1,65;;
29.9.2021 16.00;0,88;;
29.9.2021 17.00;1,34;;
29.9.2021 18.00;0,98;;
29.9.2021 19.00;1,7;;
29.9.2021 20.00;0,96;;
29.9.2021 21.00;1,79;;
29.9.2021 22.00;4,6;;
29.9.2021 23.00;3,1;;
30.9.2021 0.00;0,44;;
30.9.2021 1.00;0,52;;
30.9.2021 2.00;0,88;;
30.9.2021 3.00;1,25;;
30.9.2021 4.00;0,84;;
30.9.2021 5.00;0,5;;
30.9.2021 6.00;0,67;;
30.9.2021 7.00;0,82;;
30.9.2021 8.00;1,33;;
30.9.2021 9.00;1,23;;
30.9.2021 10.00;0,63;;
30.9.2021 11.00;0,53;;
30.9.2021 12.00;0,7;;
30.9.2021 13.00;1,59;;
30.9.2021 14.00;1,46;;
30.9.2021 15.00;0,72;;
30.9.2021 16.00;1,27;;
30.9.2021 17.00;0,77;;
30.9.2021 18.00;0,78;;
30.9.2021 19.00;2,64;;
30.9.2021 20.00;2,49;;
30.9.2021 21.00;0,72;;
30.9.2021 22.00;1,93;;
30.9.2021 23.00;3,48;;
1.10.2021 0.00;3,6;;
1.10.2021 1.00;2,89;;
1.10.2021 2.00;0,88;;
1.10.2021 3.00;0,32;;
1.10.2021 4.00;0,4;;
1.10.2021 5.00;0,61;;
1.10.2021 6.00;1,4;;
1.10.2021 7.00;1,87;;
1.10.2021 8.00;1,17;;
1.10.2021 9.00;0,86;;
1.10.2021 10.00;0,91;;
1.10.2021 11.00;1,15;;
1.10.2021 12.00;1,66;;
1.10.2021 13.00;1,17;;
1.10.2021 14.00;0,74;;
1.10.2021 15.00;0,75;;
1.10.2021 16.00;1,23;;
1.10.2021 17.00;2,43;;
1.10.2021 18.00;1,57;;
1.10.2021 19.00;1;;
1.10.2021 20.00;0,93;;
1.10.2021 21.00;1,32;;
1.10.2021 22.00;3,56;;
1.10.2021 23.00;3,9;;
2.10.2021 0.00;3,19;;
2.10.2021 1.00;0,38;;
2.10.2021 2.00;0,35;;
2.10.2021 3.00;0,32;;
2.10.2021 4.00;0,36;;
2.10.2021 5.00;1,43;;
2.10.2021 6.00;1,01;;
2.10.2021 7.00;0,65;;
2.10.2021 8.00;1,14;;
2.10.2021 9.00;1,99;;
2.10.2021 10.00;2,33;;
2.10.2021 11.00;1,31;;
2.10.2021 12.00;1,09;;
2.10.2021 13.00;0,51;;
2.10.2021 14.00;0,77;;
2.10.2021 15.00;1,46;;
2.10.2021 16.00;1,7;;
2.10.2021 17.00;0,56;;
2.10.2021 18.00;0,35;;
2.10.2021 19.00;0,4;;
2.10.2021 20.00;0,59;;
2.10.2021 21.00;1,45;;
2.10.2021 22.00;1,99;;
2.10.2021 23.00;3,76;;
3.10.2021 0.00;3,46;;
3.10.2021 1.00;2,17;;
3.10.2021 2.00;0,4;;
3.10.2021 3.00;0,34;;
3.10.2021 4.00;0,39;;
3.10.2021 5.00;0,85;;
3.10.2021 6.00;1,01;;
3.10.2021 7.00;1,5;;
3.10.2021 8.00;0,71;;
3.10.2021 9.00;1,54;;
3.10.2021 10.00;1,46;;
3.10.2021 11.00;1,5;;
3.10.2021 12.00;0,59;;
3.10.2021 13.00;0,88;;
3.10.2021 14.00;0,54;;
3.10.2021 15.00;0,69;;
3.10.2021 16.00;1,17;;
3.10.2021 17.00;1,61;;
3.10.2021 18.00;1,64;;
3.10.2021 19.00;1,31;;
3.10.2021 20.00;0,8;;
3.10.2021 21.00;0,7;;
3.10.2021 22.00;3;;
3.10.2021 23.00;4,36;;
4.10.2021 0.00;4,24;;
4.10.2021 1.00;4,13;;
4.10.2021 2.00;0,76;;
4.10.2021 3.00;0,64;;
4.10.2021 4.00;0,75;;
4.10.2021 5.00;0,7;;
4.10.2021 6.00;0,8;;
4.10.2021 7.00;1,67;;
4.10.2021 8.00;1,15;;
4.10.2021 9.00;0,7;;
4.10.2021 10.00;0,8;;
4.10.2021 11.00;0,7;;
4.10.2021 12.00;0,42;;
4.10.2021 13.00;0,48;;
4.10.2021 14.00;0,73;;
4.10.2021 15.00;1,22;;
4.10.2021 16.00;0,89;;
4.10.2021 17.00;0,9;;
4.10.2021 18.00;0,66;;
4.10.2021 19.00;1,41;;
4.10.2021 20.00;0,89;;
4.10.2021 21.00;0,6;;
4.10.2021 22.00;3,07;;
4.10.2021 23.00;3,48;;
5.10.2021 0.00;3,46;;
5.10.2021 1.00;0,97;;
5.10.2021 2.00;0,81;;
5.10.2021 3.00;1,08;;
5.10.2021 4.00;0,35;;
5.10.2021 5.00;0,35;;
5.10.2021 6.00;0,29;;
5.10.2021 7.00;0,91;;
5.10.2021 8.00;0,76;;
5.10.2021 9.00;0,65;;
5.10.2021 10.00;1,09;;
5.10.2021 11.00;0,57;;
5.10.2021 12.00;0,26;;
5.10.2021 13.00;0,32;;
5.10.2021 14.00;0,48;;
5.10.2021 15.00;1,76;;
5.10.2021 16.00;1,82;;
5.10.2021 17.00;0,81;;
5.10.2021 18.00;0,74;;
5.10.2021 19.00;0,83;;
5.10.2021 20.00;0,85;;
5.10.2021 21.00;1,36;;
5.10.2021 22.00;1,88;;
5.10.2021 23.00;3,57;;
6.10.2021 0.00;3,46;;
6.10.2021 1.00;2,01;;
6.10.2021 2.00;0,36;;
6.10.2021 3.00;0,86;;
6.10.2021 4.00;1,14;;
6.10.2021 5.00;0,38;;
6.10.2021 6.00;0,47;;
6.10.2021 7.00;0,65;;
6.10.2021 8.00;0,31;;
6.10.2021 9.00;0,98;;
6.10.2021 10.00;1,12;;
6.10.2021 11.00;0,41;;
6.10.2021 12.00;0,34;;
6.10.2021 13.00;0,44;;
6.10.2021 14.00;1,12;;
6.10.2021 15.00;1,52;;
6.10.2021 16.00;1,61;;
6.10.2021 17.00;2,35;;
6.10.2021 18.00;1,86;;
6.10.2021 19.00;0,98;;
6.10.2021 20.00;0,89;;
6.10.2021 21.00;1,46;;
6.10.2021 22.00;3,54;;
6.10.2021 23.00;3,53;;
7.10.2021 0.00;3,22;;
7.10.2021 1.00;0,35;;
7.10.2021 2.00;0,82;;
7.10.2021 3.00;1,36;;
7.10.2021 4.00;0,96;;
7.10.2021 5.00;0,62;;
7.10.2021 6.00;0,67;;
7.10.2021 7.00;0,67;;
7.10.2021 8.00;1,01;;
7.10.2021 9.00;1,1;;
7.10.2021 10.00;0,63;;
7.10.2021 11.00;0,61;;
7.10.2021 12.00;0,57;;
7.10.2021 13.00;0,69;;
7.10.2021 14.00;1,36;;
7.10.2021 15.00;1,28;;
7.10.2021 16.00;0,89;;
7.10.2021 17.00;0,95;;
7.10.2021 18.00;1,23;;
7.10.2021 19.00;1;;
7.10.2021 20.00;0,9;;
7.10.2021 21.00;2,08;;
7.10.2021 22.00;3,76;;
7.10.2021 23.00;2,53;;
8.10.2021 0.00;0,31;;
8.10.2021 1.00;0,36;;
8.10.2021 2.00;0,44;;
8.10.2021 3.00;1,08;;
8.10.2021 4.00;0,89;;
8.10.2021 5.00;0,36;;
8.10.2021 6.00;0,47;;
8.10.2021 7.00;0,56;;
8.10.2021 8.00;1,37;;
8.10.2021 9.00;1,52;;
8.10.2021 10.00;0,85;;
8.10.2021 11.00;0,71;;
8.10.2021 12.00;0,65;;
8.10.2021 13.00;1;;
8.10.2021 14.00;1,54;;
8.10.2021 15.00;1,34;;
8.10.2021 16.00;0,73;;
8.10.2021 17.00;0,68;;
8.10.2021 18.00;0,63;;
8.10.2021 19.00;1,01;;
8.10.2021 20.00;1,43;;
8.10.2021 21.00;0,83;;
8.10.2021 22.00;2,75;;
8.10.2021 23.00;2,86;;
9.10.2021 0.00;0,6;;
9.10.2021 1.00;0,95;;
9.10.2021 2.00;1,17;;
9.10.2021 3.00;0,63;;
9.10.2021 4.00;0,36;;
9.10.2021 5.00;0,43;;
9.10.2021 6.00;0,84;;
9.10.2021 7.00;1,23;;
9.10.2021 8.00;0,85;;
9.10.2021 9.00;0,37;;
9.10.2021 10.00;0,43;;
9.10.2021 11.00;0,89;;
9.10.2021 12.00;1,35;;
9.10.2021 13.00;1,08;;
9.10.2021 14.00;0,65;;
9.10.2021 15.00;0,56;;
9.10.2021 16.00;0,62;;
9.10.2021 17.00;1,26;;
9.10.2021 18.00;1,35;;
9.10.2021 19.00;0,51;;
9.10.2021 20.00;0,35;;
9.10.2021 21.00;0,37;;
9.10.2021 22.00;2,94;;
9.10.2021 23.00;1,41;;
10.10.2021 0.00;0,78;;
10.10.2021 1.00;0,65;;
10.10.2021 2.00;0,64;;
10.10.2021 3.00;0,78;;
10.10.2021 4.00;1,41;;
10.10.2021 5.00;1,06;;
10.10.2021 6.00;0,57;;
10.10.2021 7.00;0,58;;
10.10.2021 8.00;0,57;;
10.10.2021 9.00;0,84;;
10.10.2021 10.00;1,1;;
10.10.2021 11.00;0,62;;
10.10.2021 12.00;0,29;;
10.10.2021 13.00;2,38;;
10.10.2021 14.00;2,24;;
10.10.2021 15.00;2,63;;
10.10.2021 16.00;2,53;;
10.10.2021 17.00;1,1;;
10.10.2021 18.00;1,99;;
10.10.2021 19.00;1,43;;
10.10.2021 20.00;1,17;;
10.10.2021 21.00;1,84;;
10.10.2021 22.00;2,38;;
10.10.2021 23.00;4,47;;
11.10.2021 0.00;3,83;;
11.10.2021 1.00;2,94;;
11.10.2021 2.00;0,81;;
11.10.2021 3.00;0,98;;
11.10.2021 4.00;1,61;;
11.10.2021 5.00;1,16;;
11.10.2021 6.00;0,9;;
11.10.2021 7.00;1,39;;
11.10.2021 8.00;2,01;;
11.10.2021 9.00;0,9;;
11.10.2021 10.00;1,51;;
11.10.2021 11.00;1,52;;
11.10.2021 12.00;0,84;;
11.10.2021 13.00;1,01;;
11.10.2021 14.00;1,34;;
11.10.2021 15.00;1,14;;
11.10.2021 16.00;1,47;;
11.10.2021 17.00;1,79;;
11.10.2021 18.00;1,26;;
11.10.2021 19.00;1,09;;
11.10.2021 20.00;1,05;;
11.10.2021 21.00;0,96;;
11.10.2021 22.00;2,65;;
11.10.2021 23.00;4,11;;
12.10.2021 0.00;4,42;;
12.10.2021 1.00;1,3;;
12.10.2021 2.00;0,97;;
12.10.2021 3.00;0,91;;
12.10.2021 4.00;0,97;;
12.10.2021 5.00;0,97;;
12.10.2021 6.00;1,01;;
12.10.2021 7.00;1,88;;
12.10.2021 8.00;1,52;;
12.10.2021 9.00;1,07;;
12.10.2021 10.00;1,11;;
12.10.2021 11.00;1,07;;
12.10.2021 12.00;1,02;;
12.10.2021 13.00;1,46;;
12.10.2021 14.00;1,91;;
12.10.2021 15.00;1,33;;
12.10.2021 16.00;1,31;;
12.10.2021 17.00;1,2;;
12.10.2021 18.00;1,06;;
12.10.2021 19.00;1,8;;
12.10.2021 20.00;2,29;;
12.10.2021 21.00;1,79;;
12.10.2021 22.00;2,96;;
12.10.2021 23.00;4,12;;
13.10.2021 0.00;4,23;;
13.10.2021 1.00;3,99;;
13.10.2021 2.00;1,34;;
13.10.2021 3.00;1,03;;
13.10.2021 4.00;1,07;;
13.10.2021 5.00;1,2;;
13.10.2021 6.00;1,9;;
13.10.2021 7.00;1,66;;
13.10.2021 8.00;1,04;;
13.10.2021 9.00;1,2;;
13.10.2021 10.00;1,24;;
13.10.2021 11.00;1,81;;
13.10.2021 12.00;1,31;;
13.10.2021 13.00;1,02;;
13.10.2021 14.00;1;;
13.10.2021 15.00;1,14;;
13.10.2021 16.00;2,08;;
13.10.2021 17.00;2,1;;
13.10.2021 18.00;1,43;;
13.10.2021 19.00;1,21;;
13.10.2021 20.00;1,7;;
13.10.2021 21.00;2,24;;
13.10.2021 22.00;4,41;;
13.10.2021 23.00;4,49;;
14.10.2021 0.00;4,16;;
14.10.2021 1.00;1,51;;
14.10.2021 2.00;2,26;;
14.10.2021 3.00;2,14;;
14.10.2021 4.00;1,52;;
14.10.2021 5.00;1,51;;
14.10.2021 6.00;2,14;;
14.10.2021 7.00;3,88;;
14.10.2021 8.00;2,19;;
14.10.2021 9.00;1,41;;
14.10.2021 10.00;1,46;;
14.10.2021 11.00;1,99;;
14.10.2021 12.00;2,15;;
14.10.2021 13.00;1,98;;
14.10.2021 14.00;1,41;;
14.10.2021 15.00;1,24;;
14.10.2021 16.00;2,39;;
14.10.2021 17.00;3,41;;
14.10.2021 18.00;2,68;;
14.10.2021 19.00;1,48;;
14.10.2021 20.00;1,44;;
14.10.2021 21.00;1,41;;
14.10.2021 22.00;4,52;;
14.10.2021 23.00;5;;
15.10.2021 0.00;4,54;;
15.10.2021 1.00;2,23;;
15.10.2021 2.00;1,11;;
15.10.2021 3.00;1,42;;
15.10.2021 4.00;1,91;;
15.10.2021 5.00;1,43;;
15.10.2021 6.00;1,05;;
15.10.2021 7.00;1,23;;
15.10.2021 8.00;1,32;;
15.10.2021 9.00;1,82;;
15.10.2021 10.00;1,74;;
15.10.2021 11.00;1,07;;
15.10.2021 12.00;1,23;;
15.10.2021 13.00;1,14;;
15.10.2021 14.00;1,92;;
15.10.2021 15.00;2;;
15.10.2021 16.00;2,37;;
15.10.2021 17.00;1,68;;
15.10.2021 18.00;1,62;;
15.10.2021 19.00;2,21;;
15.10.2021 20.00;1,11;;
15.10.2021 21.00;0,97;;
15.10.2021 22.00;1,45;;
15.10.2021 23.00;3,96;;
16.10.2021 0.00;3,89;;
16.10.2021 1.00;4,48;;
16.10.2021 2.00;1,48;;
16.10.2021 3.00;0,75;;
16.10.2021 4.00;0,8;;
16.10.2021 5.00;0,89;;
16.10.2021 6.00;0,84;;
16.10.2021 7.00;1,13;;
16.10.2021 8.00;2;;
16.10.2021 9.00;1,35;;
16.10.2021 10.00;2,01;;
16.10.2021 11.00;1,25;;
16.10.2021 12.00;1,09;;
16.10.2021 13.00;1,48;;
16.10.2021 14.00;1,94;;
16.10.2021 15.00;1,4;;
16.10.2021 16.00;1,29;;
16.10.2021 17.00;1,31;;
16.10.2021 18.00;1,21;;
16.10.2021 19.00;1,6;;
16.10.2021 20.00;1,97;;
16.10.2021 21.00;0,64;;
16.10.2021 22.00;3,12;;
16.10.2021 23.00;4,33;;
17.10.2021 0.00;4,73;;
17.10.2021 1.00;2,64;;
17.10.2021 2.00;0,98;;
17.10.2021 3.00;0,91;;
17.10.2021 4.00;1,07;;
17.10.2021 5.00;1,81;;
17.10.2021 6.00;1,69;;
17.10.2021 7.00;1,13;;
17.10.2021 8.00;1,18;;
17.10.2021 9.00;1,36;;
17.10.2021 10.00;2,87;;
17.10.2021 11.00;2,39;;
17.10.2021 12.00;3;;
17.10.2021 13.00;2,44;;
17.10.2021 14.00;1,57;;
17.10.2021 15.00;1,37;;
17.10.2021 16.00;3,21;;
17.10.2021 17.00;2,69;;
17.10.2021 18.00;2,7;;
17.10.2021 19.00;1,45;;
17.10.2021 20.00;1,21;;
17.10.2021 21.00;1;;
17.10.2021 22.00;1,85;;
17.10.2021 23.00;4,04;;
18.10.2021 0.00;4,45;;
18.10.2021 1.00;4,85;;
18.10.2021 2.00;3,91;;
18.10.2021 3.00;0,96;;
18.10.2021 4.00;1,02;;
18.10.2021 5.00;1,26;;
18.10.2021 6.00;1,9;;
18.10.2021 7.00;1,71;;
18.10.2021 8.00;1,12;;
18.10.2021 9.00;0,98;;
18.10.2021 10.00;1,26;;
18.10.2021 11.00;1,87;;
18.10.2021 12.00;1,77;;
18.10.2021 13.00;1,1;;
18.10.2021 14.00;1,14;;
18.10.2021 15.00;1,56;;
18.10.2021 16.00;2,29;;
18.10.2021 17.00;1,97;;
18.10.2021 18.00;1,33;;
18.10.2021 19.00;1,85;;
18.10.2021 20.00;1,92;;
18.10.2021 21.00;2,48;;
18.10.2021 22.00;4,14;;
18.10.2021 23.00;4,91;;
19.10.2021 0.00;4,31;;
19.10.2021 1.00;3,92;;
19.10.2021 2.00;1,95;;
19.10.2021 3.00;1,76;;
19.10.2021 4.00;1,82;;
19.10.2021 5.00;1,13;;
19.10.2021 6.00;1,86;;
19.10.2021 7.00;4,02;;
19.10.2021 8.00;2,71;;
19.10.2021 9.00;2,36;;
19.10.2021 10.00;1,53;;
19.10.2021 11.00;1,49;;
19.10.2021 12.00;2,06;;
19.10.2021 13.00;2,28;;
19.10.2021 14.00;1,73;;
19.10.2021 15.00;1,62;;
19.10.2021 16.00;2,07;;
19.10.2021 17.00;3,02;;
19.10.2021 18.00;2,66;;
19.10.2021 19.00;2,69;;
19.10.2021 20.00;2,02;;
19.10.2021 21.00;1,64;;
19.10.2021 22.00;4,35;;
19.10.2021 23.00;5,37;;
20.10.2021 0.00;5,45;;
20.10.2021 1.00;5,45;;
20.10.2021 2.00;2,85;;
20.10.2021 3.00;1,49;;
20.10.2021 4.00;2,08;;
20.10.2021 5.00;2,4;;
20.10.2021 6.00;2,68;;
20.10.2021 7.00;3,71;;
20.10.2021 8.00;2,09;;
20.10.2021 9.00;1,93;;
20.10.2021 10.00;2,41;;
20.10.2021 11.00;2,44;;
20.10.2021 12.00;1,63;;
20.10.2021 13.00;1,63;;
20.10.2021 14.00;1,68;;
20.10.2021 15.00;3,3;;
20.10.2021 16.00;3,11;;
20.10.2021 17.00;2,5;;
20.10.2021 18.00;1,93;;
20.10.2021 19.00;1,67;;
20.10.2021 20.00;2,23;;
20.10.2021 21.00;2,38;;
20.10.2021 22.00;4,82;;
20.10.2021 23.00;4,76;;
21.10.2021 0.00;4,48;;
21.10.2021 1.00;3,75;;
21.10.2021 2.00;2,29;;
21.10.2021 3.00;1,64;;
21.10.2021 4.00;1,46;;
21.10.2021 5.00;1,46;;
21.10.2021 6.00;1,76;;
21.10.2021 7.00;2,46;;
21.10.2021 8.00;2,03;;
21.10.2021 9.00;1,44;;
21.10.2021 10.00;1,5;;
21.10.2021 11.00;1,75;;
21.10.2021 12.00;2,21;;
21.10.2021 13.00;2,09;;
21.10.2021 14.00;1,57;;
21.10.2021 15.00;1,77;;
21.10.2021 16.00;2,12;;
21.10.2021 17.00;2,08;;
21.10.2021 18.00;3,29;;
21.10.2021 19.00;1,16;;
21.10.2021 20.00;1,18;;
21.10.2021 21.00;1,55;;
21.10.2021 22.00;3,67;;
21.10.2021 23.00;4,7;;
22.10.2021 0.00;5,16;;
22.10.2021 1.00;4,12;;
22.10.2021 2.00;1,31;;
22.10.2021 3.00;1,24;;
22.10.2021 4.00;1,27;;
22.10.2021 5.00;1,5;;
